
|||2020-03-31 16:50:09,513 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3281.06","bid":"3265.61","code":"BTC_USDT_ICNCDE_ENCRY","id":"5210","makerOrderId":1012176411790852096,"price":"3281.06","takerOrderId":1012177384936488960,"timestamp":"1585644599522","type":"B","virtual":0,"volume":"0.6"}
|||2020-03-31 16:50:09,516 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3103.22","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5216","makerOrderId":1012177385041346560,"price":"3103.22","takerOrderId":1012177384991014913,"timestamp":"1585644599683","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:09,518 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3238.24","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5220","makerOrderId":1012177385037152258,"price":"3238.24","takerOrderId":1012177389822853120,"timestamp":"1585644600672","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:09,519 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3239.29","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5223","makerOrderId":1012177384978432000,"price":"3239.29","takerOrderId":1012177390070317056,"timestamp":"1585644600736","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:09,520 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3249.49","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5228","makerOrderId":1012177389889961984,"price":"3249.49","takerOrderId":1012177394046517248,"timestamp":"1585644601636","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:09,521 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3259.56","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5230","makerOrderId":1012177385037152257,"price":"3259.56","takerOrderId":1012177394046517248,"timestamp":"1585644601637","type":"B","virtual":0,"volume":"0.6"}
|||2020-03-31 16:50:09,522 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3332.83","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5237","makerOrderId":1012177394587582464,"price":"3332.83","takerOrderId":1012177394881183744,"timestamp":"1585644601880","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:09,523 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3278.93","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5238","makerOrderId":1012177394881183745,"price":"3278.93","takerOrderId":1012177394923126784,"timestamp":"1585644601903","type":"B","virtual":0,"volume":"0.7"}
|||2020-03-31 16:50:09,524 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3226.31","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5245","makerOrderId":1012177399134208000,"price":"3226.31","takerOrderId":1012177399679467520,"timestamp":"1585644603009","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:09,526 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3226.31","bid":"3202.16","code":"BTC_USDT_ICNCDE_ENCRY","id":"5246","makerOrderId":1012177399134208000,"price":"3226.31","takerOrderId":1012177399675273216,"timestamp":"1585644603143","type":"B","virtual":0,"volume":"1.5"}
|||2020-03-31 16:50:09,528 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3332.83","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5253","makerOrderId":1012177394587582464,"price":"3332.83","takerOrderId":1012177403877965825,"timestamp":"1585644604756","type":"B","virtual":0,"volume":"0.8"}
|||2020-03-31 16:50:09,529 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3160.77","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5254","makerOrderId":1012177403877965824,"price":"3160.77","takerOrderId":1012177407346655232,"timestamp":"1585644604852","type":"B","virtual":0,"volume":"0.2"}
|||2020-03-31 16:50:09,531 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3362.47","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5261","makerOrderId":1012176396829769728,"price":"3362.47","takerOrderId":1012177408449757184,"timestamp":"1585644605061","type":"B","virtual":0,"volume":"0.6"}
|||2020-03-31 16:50:09,534 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3259.73","bid":"3248.29","code":"BTC_USDT_ICNCDE_ENCRY","id":"5262","makerOrderId":1012177408923713536,"price":"3248.29","takerOrderId":1012177409099874304,"timestamp":"1585644605217","type":"S","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:09,536 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3145.65","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5269","makerOrderId":1012177412090413056,"price":"3145.65","takerOrderId":1012177412836999168,"timestamp":"1585644606105","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:09,538 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3248.52","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5271","makerOrderId":1012177413189320704,"price":"3248.52","takerOrderId":1012177413269012480,"timestamp":"1585644606210","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:09,539 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3131.77","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5277","makerOrderId":1012177416523792384,"price":"3131.77","takerOrderId":1012177416611872768,"timestamp":"1585644607029","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:09,541 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3300.75","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5278","makerOrderId":1012177413516476416,"price":"3300.75","takerOrderId":1012177416611872768,"timestamp":"1585644607030","type":"B","virtual":0,"volume":"0.1"}
