|||2020-03-31 16:49:59,553 | ConsumeMessageThread_1 | INFO  | c.i.instrument.cache.InsCacheService | InsCacheService.java  230||db query
|||2020-03-31 16:49:59,594 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3281.06","bid":"3265.61","code":"BTC_USDT_ICNCDE_ENCRY","id":"5210","makerOrderId":1012176411790852096,"price":"3281.06","takerOrderId":1012177384936488960,"timestamp":"1585644599522","type":"B","virtual":0,"volume":"0.6"}
|||2020-03-31 16:49:59,607 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3281.06","bid":"3265.61","code":"BTC_USDT_ICNCDE_ENCRY","id":"5211","makerOrderId":1012176411790852096,"price":"3281.06","takerOrderId":1012177384995209216,"timestamp":"1585644599558","type":"B","virtual":0,"volume":"0.6"}
|||2020-03-31 16:49:59,630 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3362.47","bid":"3265.61","code":"BTC_USDT_ICNCDE_ENCRY","id":"5213","makerOrderId":1012176408917753856,"price":"3265.61","takerOrderId":1012177384978432001,"timestamp":"1585644599564","type":"S","virtual":0,"volume":"0.4"}
|||2020-03-31 16:49:59,667 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3362.47","bid":"3265.61","code":"BTC_USDT_ICNCDE_ENCRY","id":"5212","makerOrderId":1012176396829769728,"price":"3362.47","takerOrderId":1012177384995209216,"timestamp":"1585644599558","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:49:59,671 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3111.65","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5214","makerOrderId":1012177385037152256,"price":"3111.65","takerOrderId":1012177384991014912,"timestamp":"1585644599614","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:49:59,674 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3215.64","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5215","makerOrderId":1012177384978432001,"price":"3215.64","takerOrderId":1012177385100066816,"timestamp":"1585644599634","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:49:59,698 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3103.22","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5216","makerOrderId":1012177385041346560,"price":"3103.22","takerOrderId":1012177384991014913,"timestamp":"1585644599683","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:49:59,719 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3215.64","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5218","makerOrderId":1012177384978432001,"price":"3215.64","takerOrderId":1012177385100066817,"timestamp":"1585644599700","type":"B","virtual":0,"volume":"0.5"}
|||2020-03-31 16:49:59,724 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3103.22","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5217","makerOrderId":1012177385041346560,"price":"3103.22","takerOrderId":1012177385100066817,"timestamp":"1585644599699","type":"B","virtual":0,"volume":"0.6"}
|||2020-03-31 16:50:00,609 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3238.24","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5219","makerOrderId":1012177385037152258,"price":"3238.24","takerOrderId":1012177389638303744,"timestamp":"1585644600581","type":"B","virtual":0,"volume":"0.3"}
